ID	TASK	DA	RAND_20_naturalness	AL_20_naturalness	RAND_40_naturalness	AL_40_naturalness	RAND_100_naturalness	AL_100_naturalness	FULLTRAINSET_naturalness	GOLD_naturalness	RAND_20_informativeness	AL_20_informativeness	RAND_40_informativeness	AL_40_informativeness	RAND_100_informativeness	AL_100_informativeness	FULLTRAINSET_informativeness	GOLD_informativeness
100	1ACH8XILT7MNSGB9RWS6FYSOFJJSND	inform(name="X1",type=placetoeat,eattype=restaurant,pricerange=expensive,area="X2",near="X3")	2	3	3	3	5	4	3	4	1	5	5	5	5	5	5	4
101	1F4NMXEG4RS5A1BLSBSJUNST5TOSOS	inform(name="X1",type=placetoeat,eattype=restaurant,pricerange=expensive,area=riverside)	5	5	3	5	3	5	3	4	4	4	4	4	4	4	4	4
102	1F4NMXEG4RS5A1BLSBSJUNST5TOSOS	inform(name="X1",type=placetoeat,eattype=restaurant,area=riverside,food=Fastfood)	4	4	4	3	4	3	4	4	5	4	5	4	4	4	4	4
103	1F4NMXEG4RS5A1BLSBSJUNST5TOSOS	inform(name="X1",type=placetoeat,eattype=restaurant,near="X2",pricerange=moderate,food=Indian,food="Indian takeaway")	3	4	4	4	4	3	3	4	4	5	5	3	4	4	4	4
104	1F4NMXEG4RS5A1BLSBSJUNST5TOSOS	inform(name="X1",type=placetoeat,pricerange=expensive,near="X2",eattype=restaurant)	3	4	3	4	4	4	4	4	5	4	5	4	4	4	4	4
105	1VMEQEXIMKIHQRSRU6XHKZ6OEG9DN4	inform(name="X1",type=placetoeat,eattype=restaurant,near="X2",area=citycentre)	4	2	4	3	4	4	4	4	5	4	5	4	5	4	4	4
106	1VMEQEXIMKIHQRSRU6XHKZ6OEG9DN4	inform(name="X1",type=placetoeat,eattype=restaurant,near="X2",food=Fastfood)	1	4	1	4	4	4	4	4	1	4	1	4	4	4	4	4
107	1VMEQEXIMKIHQRSRU6XHKZ6OEG9DN4	inform(name="X1",type=placetoeat,eattype=restaurant,near="X2",area="X3",food=Italian)	3	3	3	3	5	5	3	5	3	4	3	3	5	5	3	5
108	1VMEQEXIMKIHQRSRU6XHKZ6OEG9DN4	inform(name="X1",type=placetoeat,eattype=restaurant,near="X2",area=riverside,food=Italian)	3	5	5	5	5	5	5	2	4	4	4	4	4	4	4	4
109	1WLQAKWATGZJU5HFZJ69YSSHXDKKGG	inform(name="X1",eattype=restaurant,area="X2")	5	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5
